league,first,trophySelector,colour,sport,championship,trophy,month,nextStep,prevStep,whereToNext,whereToPrev,yearFirst,year,number,date,note,t1,t1loc,t1coord,t2,t2loc,t2coord,t3,t3loc,t3coord,t4,t4loc,t4coord
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step28,step26,33,22,1895,1895,27,1/1/1895,"HAF, NCF",Yale University,"New Haven, Connecticut","[-72.9278835, 41.308274]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step29,step27,33,22,1896,1896,28,1/1/1896,"HAF, NCF",University of Pennsylvania,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step31,step28,33,22,1897,1897,29,1/1/1897,"NCF, HAF, NCF",Lafayette College,"Easton, Pennsylvania","[-75.2207323, 40.688432]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step31,step29,33,22,,1897,30,1/1/1897,"NCF, HAF, NCF",Princeton University,"Princeton, New Jersey","[-74.6672226, 40.3572976]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step32,step29,33,22,1898,1898,31,1/1/1898,"HAF, NCF",University of Pennsylvania,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step33,step31,33,22,1899,1899,32,1/1/1899,"HAF, NCF",Harvard University,"Cambridge, Massachusetts","[-71.1097334999999, 42.3736158]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step34,step32,54,33,1900,1900,33,1/1/1900,"HAF, NCF",Harvard University,"Cambridge, Massachusetts","[-71.1097334999999, 42.3736158]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step35,step33,54,33,1901,1901,34,1/1/1901,"HAF, NCF",Yale University,"New Haven, Connecticut","[-72.9278835, 41.308274]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step36,step34,54,33,1902,1902,35,1/1/1902,"HAF, NCF",University of Michigan,"Ann Arbor, Michigan","[-83.7430378, 42.2808256]",,,,,,,,,
NCAA D1 - Men,FALSE,trophy-football-m,#386cb0,american_football-men,FBS,,January,step38,step35,54,33,1903,1903,36,1/1/1903,"HAF, NCF",University of Michigan,"Ann Arbor, Michigan","[-83.7430378, 42.2808256]",,,,,,,,,
MLB,TRUE,trophy-MLB,#beaed4,baseball,world series,Commissioner's Trophy,October,step38,step36,54,33,,1903,37,10/1/1903,,Boston Americans,"Boston, Massachusetts","[-71.0588801, 42.3600825]",Pittsburgh Pirates,"Pittsburgh, Pennsylvania","[-79.9958864, 40.4406247999999]",Philadelphia Athletics,"Philadelphia, Pennsylvania","[-75.1652215, 39.9525839]",New York Giants,"New York, New York","[-74.0059728, 40.7127753]"
