year,word1,word2,totalOccurences,totalPer,total
1970,hers,visions,104,9.615,1
1970,hers,yeah,104,9.615,1
1971,hers,apartment,93,43.011,4
1971,hers,baby,93,43.011,4
1971,hers,chorus,93,43.011,4
1971,hers,love,93,43.011,4
1971,hers,black,93,32.258,3
1971,hers,words,93,32.258,3
1971,hers,answer,93,21.505,2
1971,hers,driving,93,21.505,2
1971,hers,eyes,93,21.505,2
1971,hers,feel,93,21.505,2
1971,hers,free,93,21.505,2
1971,hers,friend,93,21.505,2
1971,hers,hair,93,21.505,2
1971,hers,home,93,21.505,2
1971,hers,life,93,10.753,2
1971,hers,"love's",93,21.505,2
1971,hers,mommy,93,21.505,2
1971,hers,palace,93,21.505,2
1971,hers,real,93,21.505,2
1971,hers,skin,93,21.505,2
1971,hers,time,93,21.505,2
1971,hers,tong,93,21.505,2
1971,hers,bow,93,10.753,1
1971,hers,breathin,93,10.753,1
1971,hers,children,93,10.753,1
1971,hers,clothes,93,10.753,1
1971,hers,cry,93,10.753,1
1971,hers,dancing,93,10.753,1
1971,hers,doubt,93,10.753,1
1971,hers,dream,93,10.753,1
1971,hers,eye,93,10.753,1
1971,hers,fat,93,10.753,1
1971,hers,fate,93,10.753,1
1971,hers,hand,93,10.753,1
1971,hers,head,93,10.753,1
1971,hers,heart,93,10.753,1
1971,hers,innocence,93,10.753,1
1971,hers,lap,93,10.753,1
1971,hers,pain,93,10.753,1
1971,hers,past,93,10.753,1
1971,hers,praises,93,10.753,1
1971,hers,prey,93,10.753,1
1971,hers,proud,93,10.753,1
1971,hers,revolution,93,10.753,1
1971,hers,row,93,10.753,1
1971,hers,sister,93,10.753,1
1971,hers,spirit,93,10.753,1
1971,hers,stern,93,10.753,1
1971,hers,suitcase,93,10.753,1
1971,hers,surround,93,10.753,1
1971,hers,tall,93,10.753,1
1971,hers,teachers,93,10.753,1
1971,hers,true,93,10.753,1
1971,hers,wings,93,10.753,1
1971,hers,zebra,93,10.753,1
1972,hers,dresses,140,128.571,18
1972,hers,hair,140,85.714,12
1972,hers,doorway,140,71.429,10
1972,hers,sharing,140,71.429,10
1972,hers,yeah,140,57.143,8
1972,hers,loved,140,42.857,6
1972,hers,eyes,140,35.714,5
1972,hers,funky,140,28.571,4
1972,hers,sister,140,28.571,4
1972,hers,woa,140,28.571,4
1972,hers,feel,140,21.429,3
1972,hers,hands,140,21.429,3
1972,hers,afraid,140,14.286,2
1972,hers,breath,140,14.286,2
1972,hers,city,140,14.286,2
1972,hers,clothes,140,14.286,2
1972,hers,curls,140,14.286,2
1972,hers,dreams,140,14.286,2
1972,hers,eye,140,14.286,2
1972,hers,feet,140,14.286,2
1972,hers,golden,140,14.286,2
1972,hers,heart,140,14.286,2
1972,hers,kiss,140,14.286,2
1972,hers,ocean,140,14.286,2
1972,hers,rescue,140,14.286,2
1972,hers,shoulders,140,14.286,2
1972,hers,universal,140,14.286,2
1972,hers,voice,140,14.286,2
1972,hers,world,140,14.286,2
1972,hers,boy,140,7.143,1
1972,hers,breast,140,7.143,1
1972,hers,cards,140,7.143,1
1972,hers,cheek,140,7.143,1
1972,hers,finely,140,7.143,1
1972,hers,hardest,140,7.143,1
1972,hers,mama,140,7.143,1
1972,hers,pass,140,7.143,1
1972,hers,reel,140,7.143,1
1972,hers,return,140,7.143,1
1972,hers,silver,140,7.143,1
1972,hers,thinking,140,7.143,1
1972,hers,toes,140,7.143,1
1972,hers,wings,140,7.143,1
1972,hers,worst,140,7.143,1
1973,hers,fingers,225,120,27
1973,hers,heart,225,35.556,8
1973,hers,wing,225,35.556,8
1973,hers,eyes,225,31.111,7
1973,hers,brew,225,26.667,6
1973,hers,gypsy,225,26.667,6
1973,hers,voice,225,26.667,6
1973,hers,amazing,225,17.778,4
1973,hers,arms,225,17.778,4
1973,hers,glidin,225,17.778,4
1973,hers,hair,225,17.778,4
1973,hers,harm,225,17.778,4
1973,hers,keeper,225,17.778,4
1973,hers,life,225,8.889,4
1973,hers,love,225,17.778,4
1973,hers,money,225,17.778,4
1973,hers,shoot,225,17.778,4
1973,hers,door,225,13.333,3
1973,hers,"mama's",225,13.333,3
1973,hers,mine,225,13.333,3
1973,hers,upstairs,225,13.333,3
1973,hers,black,225,8.889,2
1973,hers,"blood's",225,8.889,2
1973,hers,blushing,225,8.889,2
1973,hers,"body's",225,8.889,2
1973,hers,braces,225,8.889,2
1973,hers,breath,225,8.889,2
1973,hers,"brother's",225,8.889,2
1973,hers,cat,225,8.889,2
1973,hers,clothes,225,8.889,2
1973,hers,curly,225,8.889,2
1973,hers,dark,225,8.889,2
1973,hers,fancy,225,8.889,2
1973,hers,finger,225,8.889,2
1973,hers,fortune,225,8.889,2
1973,hers,friends,225,8.889,2
1973,hers,hand,225,8.889,2
1973,hers,hands,225,8.889,2
1973,hers,head,225,8.889,2
1973,hers,kisses,225,8.889,2
1973,hers,legs,225,8.889,2
1973,hers,lips,225,8.889,2
1973,hers,"manager's",225,8.889,2
1973,hers,mind,225,4.444,2
1973,hers,mission,225,8.889,2
1973,hers,"name's",225,8.889,2
1973,hers,operation,225,8.889,2
1973,hers,perfume,225,8.889,2
1973,hers,sighs,225,8.889,2
1973,hers,skirt,225,8.889,2
1973,hers,stately,225,8.889,2
1973,hers,strange,225,8.889,2
1973,hers,style,225,8.889,2
1973,hers,time,225,8.889,2
1973,hers,womb,225,8.889,2
1973,hers,wrists,225,8.889,2
1973,hers,adieu,225,4.444,1
1973,hers,breasts,225,4.444,1
1973,hers,cajun,225,4.444,1
1973,hers,"daddy's",225,4.444,1
1973,hers,day,225,4.444,1
1973,hers,dearer,225,4.444,1
1973,hers,fall,225,4.444,1
1973,hers,fate,225,4.444,1
1973,hers,father,225,4.444,1
1973,hers,husband,225,4.444,1
1973,hers,image,225,4.444,1
1973,hers,mother,225,4.444,1
1973,hers,nose,225,4.444,1
1973,hers,palms,225,4.444,1
1973,hers,poetry,225,4.444,1
1973,hers,possibilities,225,4.444,1
1973,hers,skin,225,4.444,1
1973,hers,sleep,225,4.444,1
1973,hers,smiling,225,4.444,1
1973,hers,smoke,225,4.444,1
1973,hers,ties,225,4.444,1
1973,hers,toes,225,4.444,1
1973,hers,write,225,4.444,1
1974,hers,heart,57,105.263,6
1974,hers,soul,57,105.263,6
1974,hers,eyes,57,87.719,5
1974,hers,lies,57,70.175,4
1974,hers,love,57,70.175,4
1974,hers,nest,57,70.175,4
1974,hers,doctor,57,52.632,3
1974,hers,hand,57,52.632,3
1974,hers,door,57,35.088,2
1974,hers,silver,57,35.088,2
1974,hers,sin,57,35.088,2
1974,hers,sugar,57,35.088,2
1974,hers,talk,57,35.088,2
1974,hers,arms,57,17.544,1
1974,hers,dinner,57,17.544,1
1974,hers,feel,57,17.544,1
1974,hers,finger,57,17.544,1
1974,hers,fortune,57,17.544,1
1974,hers,jeans,57,17.544,1
1974,hers,life,57,17.544,1
1974,hers,lonely,57,17.544,1
1974,hers,ol,57,17.544,1
1974,hers,pride,57,17.544,1
1975,hers,favorite,85,94.118,8
1975,hers,"husband's",85,94.118,8
1975,hers,hair,85,35.294,6
1975,hers,eyes,85,58.824,5
1975,hers,lips,85,47.059,4
1975,hers,eye,85,35.294,3
1975,hers,knees,85,35.294,3
1975,hers,cousin,85,23.529,2
1975,hers,"daddy's",85,23.529,2
1975,hers,flinch,85,23.529,2
1975,hers,folks,85,23.529,2
1975,hers,hips,85,23.529,2
1975,hers,shoes,85,23.529,2
1975,hers,silver,85,23.529,2
1975,hers,sister,85,23.529,2
1975,hers,smile,85,23.529,2
1975,hers,swaddling,85,23.529,2
1975,hers,wrong,85,23.529,2
1975,hers,apron,85,11.765,1
1975,hers,ass,85,11.765,1
1975,hers,clothing,85,11.765,1
1975,hers,drawers,85,11.765,1
1975,hers,electric,85,11.765,1
1975,hers,feet,85,11.765,1
1975,hers,finger,85,11.765,1
1975,hers,fingertips,85,11.765,1
1975,hers,hand,85,11.765,1
1975,hers,hands,85,11.765,1
1975,hers,jerk,85,11.765,1
1975,hers,killer,85,11.765,1
1975,hers,love,85,11.765,1
1975,hers,lover,85,11.765,1
1975,hers,seat,85,11.765,1
1975,hers,secret,85,11.765,1
1975,hers,shoulder,85,11.765,1
1975,hers,soft,85,11.765,1
1975,hers,tenderness,85,11.765,1
1975,hers,unfolds,85,11.765,1
1975,hers,walk,85,11.765,1
1975,hers,warmth,85,11.765,1
1975,hers,wrist,85,11.765,1
1976,hers,daughter,102,78.431,8
1976,hers,eyes,102,49.02,5
1976,hers,foot,102,39.216,4
1976,hers,knee,102,39.216,4
1976,hers,momma,102,39.216,4
1976,hers,preacher,102,39.216,4
1976,hers,wild,102,39.216,4
1976,hers,love,102,9.804,3
1976,hers,arms,102,19.608,2
1976,hers,body,102,19.608,2
1976,hers,close,102,19.608,2
1976,hers,crystal,102,19.608,2
1976,hers,daddy,102,19.608,2
1976,hers,friend,102,19.608,2
1976,hers,game,102,19.608,2
1976,hers,hand,102,19.608,2
1976,hers,head,102,19.608,2
1976,hers,kiss,102,19.608,2
1976,hers,"love's",102,19.608,2
1976,hers,miss,102,19.608,2
1976,hers,parents,102,19.608,2
1976,hers,spell,102,19.608,2
1976,hers,sunken,102,19.608,2
1976,hers,vera,102,19.608,2
1976,hers,voice,102,19.608,2
1976,hers,boat,102,9.804,1
1976,hers,breast,102,9.804,1
1976,hers,car,102,9.804,1
1976,hers,check,102,9.804,1
1976,hers,closer,102,9.804,1
1976,hers,dad,102,9.804,1
1976,hers,dying,102,9.804,1
1976,hers,expression,102,9.804,1
1976,hers,fallen,102,9.804,1
1976,hers,favorite,102,9.804,1
1976,hers,gay,102,9.804,1
1976,hers,gender,102,9.804,1
1976,hers,hair,102,9.804,1
1976,hers,heart,102,9.804,1
1976,hers,mark,102,9.804,1
1976,hers,mustang,102,9.804,1
1976,hers,nose,102,9.804,1
1976,hers,realm,102,9.804,1
1976,hers,shoulder,102,9.804,1
1976,hers,smile,102,9.804,1
1976,hers,sovereignty,102,9.804,1
1976,hers,spirit,102,9.804,1
1976,hers,standing,102,9.804,1
1976,hers,watchful,102,9.804,1
1976,hers,wrist,102,9.804,1
1977,hers,tonite,129,131.783,17
1977,hers,eyes,129,46.512,6
1977,hers,sexy,129,46.512,6
1977,hers,body,129,15.504,4
1977,hers,husband,129,15.504,4
1977,hers,time,129,15.504,4
1977,hers,clothes,129,23.256,3
1977,hers,diamond,129,23.256,3
1977,hers,hair,129,23.256,3
1977,hers,nails,129,23.256,3
1977,hers,restless,129,23.256,3
1977,hers,son,129,23.256,3
1977,hers,vest,129,23.256,3
1977,hers,arms,129,15.504,2
1977,hers,boys,129,15.504,2
1977,hers,doin,129,15.504,2
1977,hers,dreams,129,15.504,2
1977,hers,father,129,15.504,2
1977,hers,gotta,129,15.504,2
1977,hers,hear,129,15.504,2
1977,hers,heel,129,15.504,2
1977,hers,kiss,129,15.504,2
1977,hers,life,129,15.504,2
1977,hers,lip,129,15.504,2
1977,hers,mind,129,15.504,2
1977,hers,photo,129,15.504,2
1977,hers,sons,129,15.504,2
1977,hers,trembling,129,15.504,2
1977,hers,black,129,7.752,1
1977,hers,breast,129,7.752,1
1977,hers,brothers,129,7.752,1
1977,hers,brown,129,7.752,1
1977,hers,candle,129,7.752,1
1977,hers,casual,129,7.752,1
1977,hers,chains,129,7.752,1
1977,hers,cos,129,7.752,1
1977,hers,day,129,7.752,1
1977,hers,dinner,129,7.752,1
1977,hers,doctor,129,7.752,1
1977,hers,dreaded,129,7.752,1
1977,hers,feet,129,7.752,1
1977,hers,fool,129,7.752,1
1977,hers,free,129,7.752,1
1977,hers,giving,129,7.752,1
1977,hers,hand,129,7.752,1
1977,hers,hold,129,7.752,1
1977,hers,love,129,7.752,1
1977,hers,lover,129,7.752,1
1977,hers,"lover's",129,7.752,1
1977,hers,memories,129,7.752,1
1977,hers,mouth,129,7.752,1
1977,hers,mum,129,7.752,1
1977,hers,naked,129,7.752,1
1977,hers,protection,129,7.752,1
1977,hers,ring,129,7.752,1
1977,hers,soul,129,7.752,1
1977,hers,summer,129,7.752,1
1977,hers,talking,129,7.752,1
1977,hers,wedding,129,7.752,1
1977,hers,window,129,7.752,1
1977,hers,womb,129,7.752,1
1978,hers,memory,268,37.313,10
1978,hers,eyes,268,33.582,9
1978,hers,hair,268,29.851,8
1978,hers,mine,268,29.851,8
1978,hers,false,268,26.119,7
1978,hers,savoir,268,26.119,7
1978,hers,skin,268,26.119,7
1978,hers,smell,268,26.119,7
1978,hers,smile,268,26.119,7
1978,hers,talk,268,26.119,7
1978,hers,walk,268,26.119,7
1978,hers,head,268,22.388,6
1978,hers,veil,268,22.388,6
1978,hers,heart,268,14.925,4
1978,hers,pictures,268,7.463,4
1978,hers,stare,268,14.925,4
1978,hers,body,268,11.194,3
1978,hers,hands,268,11.194,3
1978,hers,love,268,11.194,3
1978,hers,mind,268,11.194,3
1978,hers,tony,268,11.194,3
1978,hers,youth,268,11.194,3
1978,hers,apology,268,7.463,2
1978,hers,arms,268,7.463,2
1978,hers,charm,268,7.463,2
1978,hers,cloak,268,7.463,2
1978,hers,cry,268,7.463,2
1978,hers,dancing,268,7.463,2
1978,hers,distant,268,7.463,2
1978,hers,drawers,268,7.463,2
1978,hers,dreams,268,7.463,2
1978,hers,faded,268,7.463,2
1978,hers,fingertips,268,7.463,2
1978,hers,flock,268,7.463,2
1978,hers,hairpins,268,7.463,2
1978,hers,hand,268,7.463,2
1978,hers,happy,268,7.463,2
1978,hers,life,268,7.463,2
1978,hers,lostness,268,7.463,2
1978,hers,lovin,268,7.463,2
1978,hers,midnight,268,7.463,2
1978,hers,pinned,268,7.463,2
1978,hers,pretty,268,7.463,2
1978,hers,someday,268,7.463,2
1978,hers,son,268,7.463,2
1978,hers,stockings,268,7.463,2
1978,hers,tears,268,7.463,2
1978,hers,tight,268,7.463,2
1978,hers,tiny,268,7.463,2
1978,hers,waist,268,7.463,2
1978,hers,wheels,268,7.463,2
1978,hers,age,268,3.731,1
1978,hers,bed,268,3.731,1
1978,hers,book,268,3.731,1
1978,hers,bought,268,3.731,1
1978,hers,bout,268,3.731,1
1978,hers,bowels,268,3.731,1
1978,hers,charms,268,3.731,1
1978,hers,close,268,3.731,1
1978,hers,clothes,268,3.731,1
1978,hers,crying,268,3.731,1
1978,hers,"daddy's",268,3.731,1
1978,hers,desire,268,3.731,1
1978,hers,earlobe,268,3.731,1
1978,hers,fast,268,3.731,1
1978,hers,father,268,3.731,1
1978,hers,fears,268,3.731,1
1978,hers,gently,268,3.731,1
1978,hers,glance,268,3.731,1
1978,hers,hollows,268,3.731,1
1978,hers,jeans,268,3.731,1
1978,hers,knee,268,3.731,1
1978,hers,leg,268,3.731,1
1978,hers,letter,268,3.731,1
1978,hers,lip,268,3.731,1
1978,hers,means,268,3.731,1
1978,hers,pa,268,3.731,1
1978,hers,parents,268,3.731,1
1978,hers,perfume,268,3.731,1
1978,hers,prison,268,3.731,1
1978,hers,sad,268,3.731,1
1978,hers,slip,268,3.731,1
1978,hers,slowly,268,3.731,1
1978,hers,standing,268,3.731,1
1978,hers,straight,268,3.731,1
1978,hers,style,268,3.731,1
1978,hers,thigh,268,3.731,1
1978,hers,thighs,268,3.731,1
1978,hers,time,268,3.731,1
1978,hers,tongue,268,3.731,1
1978,hers,undress,268,3.731,1
1978,hers,veins,268,3.731,1
1978,hers,wallet,268,3.731,1
1978,hers,wholly,268,3.731,1
1978,hers,womb,268,3.731,1
1978,hers,worst,268,3.731,1
1979,hers,love,117,196.581,23
1979,hers,head,117,68.376,8
1979,hers,factory,117,34.188,4
1979,hers,mine,117,34.188,4
1979,hers,toilet,117,34.188,4
1979,hers,eyes,117,25.641,3
