year,word1,word2,totalOccurences,totalPer,total
1972,he,rocks,100,100,10
1972,he,meant,100,70,7
1972,he,talked,100,70,7
1972,he,told,100,70,7
1972,he,hurt,100,60,6
1972,he,staggered,100,60,6
1972,he,carved,100,40,4
1972,he,remembers,100,40,4
1972,he,lived,100,30,3
1972,he,died,100,20,2
1972,he,drank,100,20,2
1972,he,examined,100,20,2
1972,he,feels,100,20,2
1972,he,left,100,20,2
1972,he,shined,100,20,2
1972,he,spoke,100,20,2
1972,he,stopped,100,20,2
1972,he,surely,100,20,2
1972,he,touched,100,20,2
1972,he,voice,100,20,2
1972,he,capped,100,10,1
1972,he,chose,100,10,1
1972,he,dealed,100,10,1
1972,he,doesed,100,10,1
1972,he,fair,100,10,1
1972,he,fought,100,10,1
1972,he,lay,100,10,1
1972,he,led,100,10,1
1972,he,lies,100,10,1
1972,he,missed,100,10,1
1972,he,plundered,100,10,1
1972,he,roars,100,10,1
1972,he,shines,100,10,1
1972,he,shook,100,10,1
1972,he,smiles,100,10,1
1972,he,spat,100,10,1
1972,he,spread,100,10,1
1972,he,stood,100,10,1
1972,he,waits,100,10,1
1972,he,weighed,100,10,1
1973,he,hit,94,42.553,8
1973,he,brings,94,42.553,4
1973,he,rides,94,42.553,4
1973,he,shares,94,42.553,4
1973,he,enriched,94,31.915,3
1973,he,fell,94,31.915,3
1973,he,locked,94,31.915,3
1973,he,shot,94,31.915,3
1973,he,aint,94,21.277,2
1973,he,alive,94,21.277,2
1973,he,barely,94,21.277,2
1973,he,bought,94,21.277,2
1973,he,built,94,21.277,2
1973,he,calls,94,21.277,2
1973,he,caught,94,21.277,2
1973,he,delivered,94,21.277,2
1973,he,denied,94,21.277,2
1973,he,dialed,94,21.277,2
1973,he,hears,94,21.277,2
1973,he,lays,94,21.277,2
1973,he,leans,94,21.277,2
1973,he,lives,94,21.277,2
1973,he,ran,94,21.277,2
1973,he,recognized,94,21.277,2
1973,he,shook,94,21.277,2
1973,he,shoot,94,21.277,2
1973,he,spends,94,21.277,2
1973,he,spoke,94,21.277,2
1973,he,walks,94,21.277,2
1973,he,died,94,10.638,1
1973,he,finally,94,10.638,1
1973,he,flies,94,10.638,1
1973,he,found,94,10.638,1
1973,he,gonna,94,10.638,1
1973,he,helps,94,10.638,1
1973,he,hid,94,10.638,1
1973,he,hopped,94,10.638,1
1973,he,left,94,10.638,1
1973,he,likes,94,10.638,1
1973,he,prefer,94,10.638,1
1973,he,robbed,94,10.638,1
1973,he,seldom,94,10.638,1
1973,he,smiled,94,10.638,1
1973,he,stands,94,10.638,1
1973,he,started,94,10.638,1
1973,he,swallowed,94,10.638,1
1974,he,told,72,97.222,7
1974,he,fills,72,69.444,5
1974,he,danced,72,55.556,4
1974,he,lost,72,55.556,4
1974,he,seeks,72,41.667,3
1974,he,stole,72,41.667,3
1974,he,wasted,72,41.667,3
1974,he,enchanted,72,27.778,2
1974,he,feels,72,27.778,2
1974,he,found,72,27.778,2
1974,he,hated,72,27.778,2
1974,he,lie,72,27.778,2
1974,he,makes,72,13.889,2
1974,he,means,72,13.889,2
1974,he,traveling,72,27.778,2
1974,he,wonders,72,27.778,2
1974,he,beat,72,13.889,1
1974,he,calls,72,13.889,1
1974,he,caught,72,13.889,1
1974,he,drinks,72,13.889,1
1974,he,fell,72,13.889,1
1974,he,grinned,72,13.889,1
1974,he,heard,72,13.889,1
1974,he,kissed,72,13.889,1
1974,he,lay,72,13.889,1
1974,he,looked,72,13.889,1
1974,he,overdid,72,13.889,1
1974,he,sighed,72,13.889,1
1974,he,slapped,72,13.889,1
1974,he,spied,72,13.889,1
1974,he,takes,72,13.889,1
1974,he,talked,72,13.889,1
1974,he,talks,72,13.889,1
1974,he,traveled,72,13.889,1
1974,he,waits,72,13.889,1
1974,he,walked,72,13.889,1
1974,he,wink,72,13.889,1
1974,he,wound,72,13.889,1
1974,he,wuz,72,13.889,1
1975,he,creeps,61,65.574,4
1975,he,cried,61,65.574,4
1975,he,dee,61,65.574,4
1975,he,locked,61,65.574,4
1975,he,started,61,65.574,4
1975,he,heard,61,49.18,3
1975,he,sang,61,49.18,3
1975,he,stretched,61,49.18,3
1975,he,hears,61,32.787,2
1975,he,pays,61,32.787,2
1975,he,rest,61,32.787,2
1975,he,told,61,32.787,2
1975,he,wait,61,32.787,2
1975,he,waltzed,61,32.787,2
1975,he,woke,61,32.787,2
1975,he,arrived,61,16.393,1
1975,he,believed,61,16.393,1
1975,he,dreamt,61,16.393,1
1975,he,hath,61,16.393,1
1975,he,hung,61,16.393,1
1975,he,kisses,61,16.393,1
1975,he,looked,61,16.393,1
1975,he,plays,61,16.393,1
1975,he,resorted,61,16.393,1
1975,he,rubbed,61,16.393,1
1975,he,sat,61,16.393,1
1975,he,slowly,61,16.393,1
1975,he,stood,61,16.393,1
1975,he,threw,61,16.393,1
1975,he,wished,61,16.393,1
1976,he,appeared,63,95.238,6
1976,he,joins,63,95.238,6
1976,he,gonna,63,47.619,3
1976,he,climbs,63,31.746,2
1976,he,died,63,31.746,2
1976,he,falls,63,31.746,2
1976,he,fears,63,31.746,2
1976,he,glides,63,31.746,2
1976,he,kindly,63,31.746,2
1976,he,looked,63,31.746,2
1976,he,pulled,63,31.746,2
1976,he,stops,63,31.746,2
1976,he,throws,63,31.746,2
1976,he,bought,63,15.873,1
1976,he,broke,63,15.873,1
1976,he,cares,63,15.873,1
1976,he,carries,63,15.873,1
1976,he,cast,63,15.873,1
1976,he,devised,63,15.873,1
1976,he,drank,63,15.873,1
1976,he,holds,63,15.873,1
1976,he,jumped,63,15.873,1
1976,he,kisseth,63,15.873,1
1976,he,left,63,15.873,1
1976,he,"make'th",63,15.873,1
1976,he,makes,63,15.873,1
1976,he,mirrored,63,15.873,1
1976,he,missed,63,15.873,1
1976,he,passed,63,15.873,1
1976,he,prayed,63,15.873,1
1976,he,punctuated,63,15.873,1
1976,he,pushed,63,15.873,1
1976,he,runs,63,15.873,1
1976,he,snuck,63,15.873,1
1976,he,stamped,63,15.873,1
1976,he,takes,63,15.873,1
1976,he,tipped,63,15.873,1
1976,he,told,63,15.873,1
1976,he,"water'eth",63,15.873,1
1976,he,wonders,63,15.873,1
1976,he,wrote,63,15.873,1
1977,he,takes,146,102.74,15
1977,he,brought,146,41.096,6
1977,he,loves,146,41.096,6
1977,he,wore,146,41.096,6
1977,he,changed,146,34.247,5
1977,he,earns,146,34.247,5
1977,he,offer,146,34.247,5
1977,he,rides,146,34.247,5
1977,he,knowed,146,27.397,4
1977,he,giving,146,20.548,3
1977,he,left,146,20.548,3
1977,he,love,146,20.548,3
1977,he,snatches,146,20.548,3
1977,he,starts,146,20.548,3
1977,he,feels,146,13.699,2
1977,he,fired,146,13.699,2
1977,he,gonna,146,13.699,2
1977,he,informed,146,13.699,2
1977,he,leave,146,13.699,2
1977,he,lived,146,13.699,2
1977,he,looked,146,13.699,2
1977,he,offered,146,13.699,2
1977,he,owned,146,13.699,2
1977,he,picked,146,13.699,2
1977,he,picks,146,13.699,2
1977,he,pulls,146,13.699,2
1977,he,roams,146,13.699,2
1977,he,rolled,146,13.699,2
1977,he,shed,146,13.699,2
1977,he,shirks,146,13.699,2
1977,he,slowly,146,13.699,2
1977,he,throws,146,13.699,2
1977,he,told,146,6.849,2
1977,he,wades,146,13.699,2
1977,he,wonders,146,13.699,2
1977,he,appeared,146,6.849,1
1977,he,bothers,146,6.849,1
1977,he,breaks,146,6.849,1
1977,he,broke,146,6.849,1
1977,he,catches,146,6.849,1
1977,he,chanced,146,6.849,1
1977,he,cut,146,6.849,1
1977,he,died,146,6.849,1
1977,he,drives,146,6.849,1
1977,he,fights,146,6.849,1
1977,he,gunned,146,6.849,1
1977,he,kissed,146,6.849,1
1977,he,promised,146,6.849,1
1977,he,screamed,146,6.849,1
1977,he,sings,146,6.849,1
1977,he,started,146,6.849,1
1977,he,starve,146,6.849,1
1977,he,sucked,146,6.849,1
1977,he,swears,146,6.849,1
1977,he,topped,146,6.849,1
1977,he,vanished,146,6.849,1
1977,he,waits,146,6.849,1
1978,he,die,36,111.111,4
1978,he,called,36,83.333,3
1978,he,carried,36,83.333,3
1978,he,wore,36,83.333,3
1978,he,danced,36,55.556,2
1978,he,desperately,36,55.556,2
1978,he,drank,36,55.556,2
1978,he,knocked,36,55.556,2
1978,he,prayed,36,55.556,2
1978,he,rises,36,55.556,2
1978,he,ruled,36,55.556,2
1978,he,cares,36,27.778,1
1978,he,entered,36,27.778,1
1978,he,lifted,36,27.778,1
1978,he,loves,36,27.778,1
1978,he,picked,36,27.778,1
1978,he,rides,36,27.778,1
1978,he,sells,36,27.778,1
1978,he,strikes,36,27.778,1
1978,he,tells,36,27.778,1
1979,he,feels,90,88.889,8
1979,he,fills,90,88.889,8
1979,he,reiter,90,66.667,6
1979,he,fell,90,55.556,5
1979,he,built,90,44.444,4
1979,he,loves,90,44.444,4
1979,he,left,90,33.333,3
1979,he,lost,90,33.333,3
1979,he,scattered,90,22.222,2
1979,he,shot,90,22.222,2
1979,he,shout,90,22.222,2
1979,he,stole,90,22.222,2
1979,he,stuck,90,22.222,2
1979,he,tracks,90,22.222,2
1979,he,wakes,90,22.222,2
1979,he,achieve,90,11.111,1
1979,he,binds,90,11.111,1
1979,he,climbs,90,11.111,1
1979,he,dream,90,11.111,1
1979,he,falls,90,11.111,1
1979,he,gambles,90,11.111,1
1979,he,grabbed,90,11.111,1
1979,he,holds,90,11.111,1
1979,he,hollered,90,11.111,1
1979,he,hoped,90,11.111,1
1979,he,lay,90,11.111,1
1979,he,lays,90,11.111,1
1979,he,leans,90,11.111,1
1979,he,likes,90,11.111,1
1979,he,longs,90,11.111,1
1979,he,looked,90,11.111,1
1979,he,misses,90,11.111,1
1979,he,misspent,90,11.111,1
1979,he,nailed,90,11.111,1
1979,he,planned,90,11.111,1
1979,he,refused,90,11.111,1
1979,he,robbed,90,11.111,1
1979,he,sang,90,11.111,1
1979,he,shoot,90,11.111,1
1979,he,shouted,90,11.111,1
1979,he,smashed,90,11.111,1
1979,he,smokes,90,11.111,1
1979,he,stay,90,11.111,1
1979,he,stood,90,11.111,1
1979,he,takes,90,11.111,1
1979,he,taught,90,11.111,1
1979,he,waits,90,11.111,1
1979,he,walks,90,11.111,1
1979,he,whispers,90,11.111,1
1980,he,drives,123,65.041,8
1980,he,makes,123,65.041,8
1980,he,loves,123,40.65,5
1980,he,believes,123,32.52,4
1980,he,cut,123,32.52,4
1980,he,dropped,123,32.52,4
1980,he,licked,123,32.52,4
1980,he,picked,123,32.52,4
1980,he,feels,123,24.39,3
1980,he,fills,123,24.39,3
1980,he,hates,123,24.39,3
1980,he,likes,123,24.39,3
1980,he,pretends,123,24.39,3
1980,he,steps,123,24.39,3
1980,he,tears,123,24.39,3
1980,he,watches,123,24.39,3
1980,he,catch,123,16.26,2
1980,he,counts,123,16.26,2
1980,he,demands,123,16.26,2
1980,he,eats,123,16.26,2
1980,he,entertains,123,16.26,2
1980,he,kidnapped,123,16.26,2
1980,he,reaches,123,16.26,2
1980,he,save,123,16.26,2
1980,he,seduced,123,16.26,2
1980,he,set,123,16.26,2
1980,he,shoots,123,16.26,2
1980,he,speaks,123,16.26,2
