category,cat_word,genre,year,pronoun,word1,word2,word,total,,,,
hers,hers-skin,all,all,her,her,skin,skin,96,,,,
hers,hers-hands,all,all,her,her,hands,hands,93,,,,
hers,hers-voice,all,all,her,her,voice,voice,88,,,,
hers,hers-dreams,all,all,her,her,dreams,dreams,79,,,,
hers,hers-home,all,all,her,her,home,home,79,,,,
hers,hers-eye,all,all,her,her,eye,eye,77,,,,
hers,hers-smile,all,all,her,her,smile,smile,77,,,,
hers,hers-soul,all,all,her,her,soul,soul,77,,,,
hers,hers-feet,all,all,her,her,feet,feet,73,,,,
hers,hers-daddy,all,all,her,her,daddy,daddy,66,,,,
hers,hers-friends,all,all,her,her,friends,friends,66,,,,
hers,hers-time,all,all,her,her,time,time,65,,,,
hers,hers-mother,all,all,her,her,mother,mother,60,,,,
hers,hers-mouth,all,all,her,her,mouth,mouth,56,,,,
hers,hers-,all,all,,,,,,,,,
hers,hers-,all,all,,,,,,,,,
hers,hers-,all,all,,,,,,,,,
hers,hers-,all,all,,,,,,,,,
hers,hers-,all,all,,,,,,,,,
her,her-her,all,all,her,love,her,love,459,,,,
her,her-her,all,all,her,hear,her,hear,187,,,,
her,her-her,all,all,her,hold,her,hold,184,,,,
her,her-her,all,all,her,told,her,told,182,,,,
her,her-her,all,all,her,leave,her,leave,151,,,,
her,her-her,all,all,her,call,her,call,132,,,,
her,her-her,all,all,her,watch,her,watch,126,,,,
her,her-her,all,all,her,miss,her,miss,109,,,,
her,her-her,all,all,her,met,her,met,106,,,,
her,her-her,all,all,her,lost,her,lost,105,,,,
her,her-her,all,all,her,left,her,left,101,,,,
her,her-her,all,all,her,inside,her,inside,99,,,,
her,her-her,all,all,her,loved,her,loved,92,,,,
her,her-her,all,all,her,feel,her,feel,90,,,,
her,her-her,all,all,her,forget,her,forget,82,,,,
her,her-her,all,all,her,kiss,her,kiss,82,,,,
her,her-her,all,all,her,heard,her,heard,79,,,,
her,her-her,all,all,her,kissed,her,kissed,65,,,,
her,her-her,all,all,her,bring,her,bring,62,,,,
her,her-her,all,all,her,touch,her,touch,60,,,,
her,her-her,all,all,her,calling,her,calling,59,,,,
her,her-her,all,all,her,treat,her,treat,58,,,,
her,her-her,all,all,her,found,her,found,55,,,,
her,her-her,all,all,her,held,her,held,53,,,,
her,her-her,all,all,her,watched,her,watched,53,,,,
her,her-,all,all,,,,,,,,,
her,her-,all,all,,,,,,,,,
her,her-,all,all,,,,,,,,,
her,her-,all,all,,,,,,,,,
her,her-,all,all,,,,,,,,,
he,he-told,all,1970,he,he,told,told,34,,,,
he,he-gonna,all,1970,he,he,gonna,gonna,29,,,,
he,he-lost,all,1970,he,he,lost,lost,20,,,,
he,he-takes,all,1970,he,he,takes,takes,20,,,,
he,he-loves,all,1970,he,he,loves,loves,18,,,,
he,he-meant,all,1970,he,he,meant,meant,18,,,,
he,he-left,all,1970,he,he,left,left,17,,,,
he,he-alive,all,1970,he,he,alive,alive,14,,,,
he,he-feels,all,1970,he,he,feels,feels,14,,,,
he,he-fills,all,1970,he,he,fills,fills,13,,,,
he,he-flies,all,1970,he,he,flies,flies,13,,,,
he,he-traveled,all,1970,he,he,traveled,traveled,13,,,,
he,he-blind,all,1970,he,he,blind,blind,12,,,,
he,he-fall,all,1970,he,he,fall,fall,12,,,,
he,he-moves,all,1970,he,he,moves,moves,12,,,,
he,he-walk,all,1970,he,he,walk,walk,12,,,,
he,he-loved,all,1970,he,he,loved,loved,11,,,,
he,he-rides,all,1970,he,he,rides,rides,11,,,,
he,he-fell,all,1970,he,he,fell,fell,10,,,,
he,he-rocks,all,1970,he,he,rocks,rocks,10,,,,
he,he-wore,all,1970,he,he,wore,wore,10,,,,
he,he-started,all,1970,he,he,started,started,9,,,,
he,he-appeared,all,1970,he,he,appeared,appeared,8,,,,
he,he-bought,all,1970,he,he,bought,bought,8,,,,
he,he-died,all,1970,he,he,died,died,8,,,,
he,he-hit,all,1970,he,he,hit,hit,8,,,,
he,he-locked,all,1970,he,he,locked,locked,8,,,,
he,he-sang,all,1970,he,he,sang,sang,8,,,,
he,he-shot,all,1970,he,he,shot,shot,8,,,,
he,he-talked,all,1970,he,he,talked,talked,8,,,,
his,his-head,all,1970,his,his,head,head,59,,,,
his,his-hand,all,1970,his,his,hand,hand,57,,,,
his,his-eyes,all,1970,his,his,eyes,eyes,38,,,,
his,his-hands,all,1970,his,his,hands,hands,36,,,,
his,his-mind,all,1970,his,his,mind,mind,33,,,,
his,his-life,all,1970,his,his,life,life,28,,,,
his,his-hair,all,1970,his,his,hair,hair,25,,,,
his,his-love,all,1970,his,his,love,love,25,,,,
his,his-heart,all,1970,his,his,heart,heart,23,,,,
his,his-feet,all,1970,his,his,feet,feet,21,,,,
his,his-money,all,1970,his,his,money,money,21,,,,
his,his-song,all,1970,his,his,song,song,17,,,,
his,his-mother,all,1970,his,his,mother,mother,15,,,,
his,his-wife,all,1970,his,his,wife,wife,15,,,,
his,his-father,all,1970,his,his,father,father,13,,,,
his,his-ear,all,1970,his,his,ear,ear,12,,,,
his,his-knees,all,1970,his,his,knees,knees,12,,,,
his,his-revenge,all,1970,his,his,revenge,revenge,12,,,,
his,his-soul,all,1970,his,his,soul,soul,12,,,,
his,his-vengeance,all,1970,his,his,vengeance,vengeance,12,,,,
his,his-victims,all,1970,his,his,victims,victims,12,,,,
his,his-boring,all,1970,his,his,boring,boring,10,,,,
his,his-horn,all,1970,his,his,horn,horn,9,,,,
his,his-job,all,1970,his,his,job,job,9,,,,
his,his-style,all,1970,his,his,style,style,9,,,,
his,his-,all,1970,,,,,,,,,
his,his-,all,1970,,,,,,,,,
his,his-,all,1970,,,,,,,,,
his,his-,all,1970,,,,,,,,,
his,his-,all,1970,,,,,,,,,
him,him-him,all,1970,him,love,him,love,42,,,,
him,him-him,all,1970,him,hear,him,hear,30,,,,
him,him-him,all,1970,him,told,him,told,18,,,,
him,him-him,all,1970,him,treat,him,treat,15,,,,
him,him-him,all,1970,him,left,him,left,14,,,,
him,him-him,all,1970,him,helps,him,helps,13,,,,
him,him-him,all,1970,him,kick,him,kick,12,,,,
him,him-him,all,1970,him,pass,him,pass,12,,,,
him,him-him,all,1970,him,shot,him,shot,12,,,,
him,him-him,all,1970,him,leave,him,leave,11,,,,
him,him-him,all,1970,him,call,him,call,9,,,,
him,him-him,all,1970,him,called,him,called,8,,,,
him,him-him,all,1970,him,hang,him,hang,8,,,,
him,him-him,all,1970,him,hit,him,hit,8,,,,
him,him-him,all,1970,him,beat,him,beat,7,,,,
him,him-him,all,1970,him,takes,him,takes,7,,,,
him,him-him,all,1970,him,feel,him,feel,6,,,,
him,him-him,all,1970,him,lead,him,lead,6,,,,
him,him-him,all,1970,him,loving,him,loving,6,,,,
him,him-him,all,1970,him,wakes,him,wakes,6,,,,
him,him-him,all,1970,him,heard,him,heard,5,,,,
him,him-him,all,1970,him,hug,him,hug,5,,,,
him,him-him,all,1970,him,watch,him,watch,5,,,,
him,him-him,all,1970,him,blame,him,blame,4,,,,
him,him-him,all,1970,him,caught,him,caught,4,,,,
him,him-him,all,1970,him,dug,him,dug,4,,,,
him,him-him,all,1970,him,hold,him,hold,4,,,,
him,him-him,all,1970,him,shoot,him,shoot,4,,,,
him,him-him,all,1970,him,shoots,him,shoots,4,,,,
him,him-him,all,1970,him,spank,him,spank,4,,,,
she,she-told,all,1970,she,she,told,told,55,,,,
she,she-makes,all,1970,she,she,makes,makes,46,,,,
she,she-left,all,1970,she,she,left,left,45,,,,
she,she-loves,all,1970,she,she,loves,loves,28,,,,
she,she-slipped,all,1970,she,she,slipped,slipped,23,,,,
she,she-looked,all,1970,she,she,looked,looked,21,,,,
she,she-wrote,all,1970,she,she,wrote,wrote,18,,,,
she,she-feels,all,1970,she,she,feels,feels,17,,,,
she,she-loved,all,1970,she,she,loved,loved,15,,,,
she,she-walks,all,1970,she,she,walks,walks,15,,,,
she,she-cried,all,1970,she,she,cried,cried,14,,,,
she,she-gotta,all,1970,she,she,gotta,gotta,14,,,,
she,she-likes,all,1970,she,she,likes,likes,12,,,,
she,she-tells,all,1970,she,she,tells,tells,12,,,,
she,she-lay,all,1970,she,she,lay,lay,11,,,,
she,she-sits,all,1970,she,she,sits,sits,11,,,,
she,she-caught,all,1970,she,she,caught,caught,10,,,,
she,she-lost,all,1970,she,she,lost,lost,10,,,,
