tweet_number,created_at,timestamp,text
42,1/27/2017 13:12:52,1/27/2017 9:12:52,"Look forward to seeing final results of VoteStand. Gregg Phillips and crew say at least 3,000,000 votes were illegal. We must do better!"
43,1/27/2017 13:19:10,1/27/2017 9:19:10,"Mexico has taken advantage of the U.S. for long enough. Massive trade deficits &amp; little help on the very weak border must change, NOW!"
44,1/27/2017 16:27:02,1/27/2017 12:27:02,The #MarchForLife is so important. To all of you marching --- you have my full support!
45,1/27/2017 16:30:29,1/27/2017 12:30:29,.@VP Mike Pence will be speaking at today's #MarchForLife -- You have our full support! https://t.co/1jb53SEGV4
46,1/27/2017 20:20:15,1/27/2017 16:20:15,Statement on International Holocaust Remembrance Day: https://t.co/KjU0MOxCHk
47,1/27/2017 22:00:47,1/27/2017 18:00:47,Congratulations Secretary Mattis! https://t.co/mkuhbegzqS
48,1/27/2017 23:46:22,1/27/2017 19:46:22,I promise that our administration will ALWAYS have your back. We will ALWAYS be with you! https://t.co/D0aOWhOH4X
49,1/28/2017 13:04:58,1/28/2017 9:04:58,"The failing @nytimes has been wrong about me from the very beginning. Said I would lose the primaries, then the general election. FAKE NEWS!"
50,1/28/2017 13:08:42,1/28/2017 9:08:42,Thr coverage about me in the @nytimes and the @washingtonpost gas been so false and angry that the times actually apologized to its.....
51,1/28/2017 13:16:17,1/28/2017 9:16:17,"...dwindling subscribers and readers.They got me wrong right from the beginning and still have not changed course, and never will. DISHONEST"
52,1/28/2017 15:42:58,1/28/2017 11:42:58,"Today, we remember the crew of the Space Shuttle Challenger, 31 years later. #NeverForget https://t.co/OhshQsFRfl"
53,1/29/2017 13:00:32,1/29/2017 9:00:32,Somebody with aptitude and conviction should buy the FAKE NEWS and failing @nytimes and either run it correctly or let it fold with dignity!
54,1/29/2017 13:08:18,1/29/2017 9:08:18,"Our country needs strong borders and extreme vetting, NOW. Look what is happening all over Europe and, indeed, the world - a horrible mess!"
55,1/29/2017 15:03:58,1/29/2017 11:03:58,Christians in the Middle-East have been executed in large numbers. We cannot allow this horror to continue!
56,1/29/2017 21:45:58,1/29/2017 17:45:58,The joint statement of former presidential candidates John McCain &amp; Lindsey Graham is wrong - they are sadly weak on immigration. The two...
57,1/29/2017 21:49:32,1/29/2017 17:49:32,"...Senators should focus their energies on ISIS, illegal immigration and border security instead of always looking to start World War III."
58,1/29/2017 23:28:50,1/29/2017 19:28:50,Statement Regarding Recent Executive Order Concerning Extreme Vetting: https://t.co/f6JO60I0Ul
59,1/29/2017 23:39:53,1/29/2017 19:39:53,I will be interviewed by @TheBrodyFile on @CBNNews tonight at 11pm. Enjoy!
60,1/30/2017 12:16:30,1/30/2017 8:16:30,"Only 109 people out of 325,000 were detained and held for questioning. Big problems at airports were caused by Delta computer outage,....."
61,1/30/2017 12:20:49,1/30/2017 8:20:49,protesters and the tears of Senator Schumer. Secretary Kelly said that all is going well with very few problems. MAKE AMERICA SAFE AGAIN!
62,1/30/2017 12:27:05,1/30/2017 8:27:05,There is nothing nice about searching for terrorists before they can enter our country. This was a big part of my campaign. Study the world!
